Dst Port,Flow Duration,Flow Pkts/s,Tot Fwd Pkts,Fwd Header Len,Flow IAT Mean,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,CWE Flag Count,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Pkt Size Avg
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,87.0
50242,1697459.9361419678,21.20815886931727,24,480,48498.855318341935,73790.08376080057,342965.35871996736,154090.98971973767,0,1,0,0,0,0,0,0,112.27777777777777
5353,4004122.018814087,0.9989705561432147,4,32,1334707.3396046956,1334707.3396046956,1887203.311065381,0.0,0,0,0,0,0,0,0,0,223.0
5353,1025724.8878479004,3.899681140030152,4,32,341908.2959493001,341908.2959493001,481274.3329361053,0.0,0,0,0,0,0,0,0,0,70.0
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,87.0
5353,3147.8404998779297,1270.7124138453382,4,32,1049.2801666259766,1049.2801666259766,522.0277010597828,0.0,0,0,0,0,0,0,0,0,116.0
5353,1348.9723205566406,1482.6101095793567,2,16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,163.0
5353,1400.9475708007812,1427.6051735874744,2,16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,163.0
50239,144432.06787109375,34.61835085309809,3,60,36108.01696777344,52001.4762878418,51836.490631103516,0.0,0,1,0,0,0,0,0,0,110.8
5353,5684358.835220337,1.759213358952625,10,80,631595.426135593,631595.426135593,1246185.4608539997,0.0,0,0,0,0,0,0,0,0,218.0
