Dst Port,Flow Duration,Flow Pkts/s,Tot Fwd Pkts,Fwd Header Len,Flow IAT Mean,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,CWE Flag Count,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Pkt Size Avg
54915,7001066.9231414795,2.2853659557392962,16,128,466737.79487609863,466737.79487609863,498741.79530422355,0.0,0,0,0,0,0,0,0,0,305.0
5353,3396124.839782715,1.1778130041461965,4,32,1132041.613260905,1132041.613260905,173946.41392009312,0.0,0,0,0,0,0,0,0,0,81.0
5353,3484050.989151001,3.157244263718568,11,88,348405.0989151001,348405.0989151001,657680.779934033,0.0,0,0,0,0,0,0,0,0,327.1818181818182
1900,3001471.996307373,1.332679433598277,4,32,1000490.665435791,1000490.665435791,255.61859430621445,0.0,0,0,0,0,0,0,0,0,217.0
5353,4124629.9743652344,2.424459906015924,10,80,458292.21937391494,458292.21937391494,576290.3997854791,0.0,0,1,0,0,0,0,0,0,276.2
5353,3997934.8182678223,0.7503874215987855,3,24,1998967.4091339111,1998967.4091339111,3692.3885345458984,0.0,0,0,0,0,0,0,0,0,87.0
5353,3012784.957885742,3.9830257279368335,12,96,273889.54162597656,273889.54162597656,617758.9078321889,0.0,0,0,0,0,0,0,0,0,82.0
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,87.0
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,92.0
5353,929157.9723358154,8.60994603521375,8,64,132736.85319083076,132736.85319083076,240860.91264992574,0.0,0,0,0,0,0,0,0,0,79.0
